"Variable","median_mda","iqr25","iqr75","tax_ID"
"Otu000326",0.091916559066043,0.0719020345136171,0.113519601207896,"Porphyromonadaceae"
"Otu000546",0.0917489715973289,0.0747692205118369,0.11470915594893,"Ruminococcaceae"
"Otu000873",0.0910864336321518,0.0664489515656147,0.121388804065047,"Actinomyces"
"Otu000406",0.0899933119381753,0.0764465668867322,0.0985023301904581,"Ruminococcaceae"
"Otu000110",0.0888819918959844,0.0749285581008986,0.105870686155779,"Bacteroides"
"Otu000512",0.0884177031762263,0.0733687547872471,0.099639767077893,"Clostridiales"
"Otu000926",0.0881849020994935,0.0752377951082042,0.101312037860796,"Lachnospiraceae"
"Otu001106",0.0881336941415943,0.0671599322847505,0.117396627176407,"Clostridiales"
"Otu000211",0.087921909904271,0.0706708739869399,0.110885092549319,"Alistipes"
"Otu000545",0.087708474326638,0.0728991925108079,0.0973693493236247,"Bacteria"
"Otu000577",0.0875874684839856,0.0610561563502138,0.107590263544296,"Phascolarctobacterium"
"Otu000045",0.0874421333626067,0.0730853531304167,0.0985583983254113,"Blautia"
"Otu001142",0.0872446958368489,0.0714773711167292,0.103553868702627,"Oxalobacteraceae"
"Otu000710",0.0872369569210556,0.0765121729625331,0.103256277645417,"Ruminococcaceae"
"Otu000269",0.0870246325703932,0.0711120560607578,0.10042002243306,"Bacteroides"
"Otu000343",0.0864543085394398,0.0628313304011608,0.103786125906761,"Alistipes"
"Otu000195",0.0859483422791292,0.0765005635631354,0.0952166736946787,"Coprococcus"
"Otu000067",0.0859085946474377,0.0719968438774269,0.101685404937,"Lachnospiraceae"
"Otu002473",0.085908278949823,0.0629661894011475,0.111866088777202,"Butyricicoccus"
"Otu000878",0.0855821186394922,0.0702137433865149,0.103206374157471,"Ruminococcaceae"
"Otu000660",0.0853845076510326,0.0651260548556364,0.107435531555974,"Actinomyces"
"Otu001312",0.08531331237432,0.0710557996379532,0.0999153473995282,"Ruminococcaceae"
"Otu000505",0.0852528040445712,0.0747054188328904,0.100449650424308,"Ruminococcaceae"
"Otu000382",0.0849930980590815,0.0624594560998871,0.101605509927887,"Bacteroides"
"Otu000270",0.0843902499994468,0.0742330314238655,0.0968876654417391,"Holdemania"
"Otu001087",0.0838098755310093,0.0711840387518157,0.0920393157008127,"Lactobacillales"
"Otu001249",0.0834220579726952,0.0681576031362939,0.102614046726269,"Alistipes"
"Otu001162",0.083405033519459,0.0692124319251701,0.0995876148103204,"Lachnospiraceae"
"Otu000840",0.0830352762667362,0.070982121285422,0.0929785954546894,"Ruminococcaceae"
"Otu000427",0.0826923367256428,0.0729756550148683,0.101241509100268,"Clostridiales"
"Otu000781",0.0824116954255895,0.0666028062954876,0.103376404713995,"Actinomyces"
"Otu000221",0.0821226285913517,0.0657183476160533,0.0955199978538244,"Clostridiales"
"Otu000361",0.0815266740884416,0.0655145534885428,0.100333756966446,"Ruminococcus"
"Otu000446",0.0810820975827954,0.0676700768522169,0.100534223971106,"Ruminococcus"
"Otu000309",0.0803997086241427,0.0669882775834092,0.0945550530962178,"Porphyromonadaceae"
"Otu000363",0.0802708386959637,0.0715217278787399,0.0965452898759304,"Parabacteroides"
"Otu000095",0.0800391760821883,0.0672540720868708,0.0976934011547062,"Coprococcus"
"Otu000589",0.0799982204752285,0.0673345255980569,0.0917215072311368,"Bacteroides"
"Otu000653",0.0797539803749667,0.0682085908405,0.0917706602597557,"Faecalibacterium"
"Otu000768",0.0793386845404928,0.0674778842455197,0.10140847329573,"Ruminococcaceae"
"Otu001317",0.0793110222225538,0.0625953928762223,0.100746390387756,"Ruminococcaceae"
"Otu004388",0.0788511385117688,0.0578900526949996,0.105050768641143,"Clostridiales"
"Otu000650",0.0786038012961317,0.0631441852949549,0.0908883653039618,"Clostridiales"
"Otu001419",0.0781816165901864,0.0661137050379734,0.0906387123343121,"Clostridiales"
"Otu000994",0.0779185090576003,0.0608672053043057,0.0886600309208228,"Desulfovibrio"
"Otu000720",0.0776514137288131,0.0657936119964179,0.0906992900447395,"Lachnospiraceae"
"Otu000486",0.0774959854793659,0.0692466061961396,0.0890101702439072,"Lachnospiraceae"
"Otu000136",0.0761848095555713,0.0639770728545981,0.086093792614457,"Blautia"
"Otu000537",0.0760249468095562,0.0679668409580889,0.084250874685985,"Clostridiales"
"Otu000433",0.0759617679577671,0.0578765841366669,0.0958028648427512,"Bacteroides"
"Otu000750",0.075836472466719,0.0606329940359957,0.0856715328799137,"Lachnospiraceae"
"Otu000375",0.0757837566763608,0.0599197559275027,0.0991931610409561,"Streptococcus"
"Otu001253",0.0757322321428827,0.0625871288486335,0.0928384944600335,"Lachnospiraceae"
"Otu000554",0.0755893149234566,0.0675852017660581,0.084663964273215,"Bacteria"
"Otu001016",0.0753576131719884,0.0648033561997533,0.0865609118909575,"Anaerofustis"
"Otu000877",0.0752724571472377,0.0576515329746135,0.103907896473718,"Erysipelotrichaceae"
"Otu001740",0.0750483346118162,0.0647675187779107,0.0815868232077051,"Lachnospiraceae"
"Otu000675",0.0748806548496,0.0632728001814166,0.0866448057491589,"Oscillibacter"
"Otu000407",0.0747034838949586,0.062230410062713,0.0909307795825896,"Bacteroides"
"Otu000622",0.0742913464234012,0.0589319265908008,0.108720860475686,"Porphyromonadaceae"
"Otu000230",0.0742806887626141,0.0610581959097111,0.0909673670680034,"Ruminococcaceae"
"Otu000569",0.0741035726349225,0.0640513376752182,0.0838883225880441,"Erysipelotrichaceae"
"Otu000441",0.0738403172493258,0.064250106329434,0.0886609440797552,"Ruminococcus"
"Otu000795",0.0738334849590943,0.0633305593665338,0.0852635367530799,"Clostridium XlVa"
"Otu001035",0.073142282966294,0.0608439844056305,0.0810379732221563,"Firmicutes"
"Otu000234",0.0728168282263202,0.0599009340987372,0.0966099411278513,"Alistipes"
"Otu000118",0.0728046313989392,0.0611593849110256,0.0897097537519373,"Ruminococcus"
"Otu000702",0.0727907552511179,0.0616980051774559,0.0862088324459267,"Lachnospiraceae"
"Otu000203",0.0716316042345539,0.0556662740003826,0.0917567903189912,"Bacteroides"
"Otu000062",0.0715410559075901,0.0602706854087408,0.0856960908792144,"Roseburia"
"Otu000721",0.0714639785262803,0.0591503437740276,0.0851475759376083,"Lachnospiraceae"
"Otu000839",0.071417448464318,0.0624404308603148,0.0794352883334843,"Ruminococcaceae"
"Otu000093",0.0712522323134834,0.0610356881063471,0.0794002167518095,"Ruminococcaceae"
"Otu000111",0.071219244669648,0.0532263518407446,0.0875412185687066,"Blautia"
"Otu000981",0.0711138580661879,0.0600621668847812,0.0833246048976539,"Lachnospiraceae"
"Otu001199",0.0706196746954826,0.057771630493728,0.0841937697687182,"Clostridiales"
"Otu000614",0.0705552586608639,0.0577258137474218,0.0837470373869512,"Ruminococcaceae"
"Otu001027",0.0705371453239909,0.0571227575403209,0.0891513099763524,"Clostridiales"
"Otu001471",0.0694884206519991,0.0579038291703108,0.0829327561393151,"Clostridiales"
"Otu000832",0.0694153582700206,0.0553366457389267,0.0807963803010717,"Flavonifractor"
"Otu001207",0.0693712800740733,0.0522955690471576,0.0865912600351891,"Lachnospiraceae"
"Otu000489",0.0693077157448833,0.0608094145146907,0.079767227427393,"Coprococcus"
"Otu000210",0.0689995663619869,0.056499654243559,0.0859812621169933,"Porphyromonadaceae"
"Otu001290",0.0688162979190918,0.0555410559471864,0.0844842384192077,"Porphyromonadaceae"
